model,language,country,foundation,model_sd,human_sd,sd_ratio
qwen2.5:7b,en,Argentina,Authority,0.49465395953387425,0.7257165708148154,0.6816076405400111
qwen2.5:7b,en,Argentina,Purity,0.39863713402774,0.8168235436241901,0.48803335449785684
qwen2.5:7b,en,Chile,Care,0.0,0.8240959408785912,0.0
qwen2.5:7b,en,Chile,Equality,0.48604097323620676,0.8799627544543267,0.5523426653865656
qwen2.5:7b,en,Chile,Proportionality,0.3689170275856488,0.6940437230577875,0.5315472431049305
qwen2.5:7b,en,Chile,Loyalty,0.5236363350053818,0.8812714114883868,0.5941828228842779
qwen2.5:7b,en,Chile,Authority,0.4821061126503949,0.8113086613503802,0.5942326707667028
qwen2.5:7b,en,Chile,Purity,0.37796447300922725,0.8512212136683834,0.4440261437803801
qwen2.5:7b,en,Colombia,Care,0.045674585936311705,0.7050776871202635,0.06477950837284274
qwen2.5:7b,en,Colombia,Equality,0.44257543523450993,0.9012400606088659,0.4910738598720432
qwen2.5:7b,en,Colombia,Proportionality,0.36930098829362545,0.6839676790324208,0.5399392392577079
qwen2.5:7b,en,Colombia,Loyalty,0.5297177616707583,0.8217228805874905,0.6446428281174753
qwen2.5:7b,en,Colombia,Authority,0.517976176795701,0.6810899904640069,0.7605106286216581
qwen2.5:7b,en,Colombia,Purity,0.2765186883991996,0.8598074342902541,0.3216053704251321
qwen2.5:7b,en,Mexico,Care,0.1455694892155502,0.7853122575833773,0.18536510516658397
qwen2.5:7b,en,Mexico,Equality,0.43804347520286213,0.9071639493060885,0.48287134374986146
qwen2.5:7b,en,Mexico,Proportionality,0.3492135641390306,0.6967783287864329,0.5011831592800109
qwen2.5:7b,en,Mexico,Loyalty,0.5216513983551618,0.7464054237795031,0.6988847906727749
qwen2.5:7b,en,Mexico,Authority,0.5224658089693047,0.6696972124048197,0.7801522826908285
qwen2.5:7b,en,Mexico,Purity,0.3382125886214776,0.8142700759398922,0.41535676996491244
qwen2.5:7b,en,Peru,Care,0.0456745859363117,0.7250902599055035,0.06299158665055601
qwen2.5:7b,en,Peru,Equality,0.3734529691693532,0.9240313259192513,0.4041561781445365
qwen2.5:7b,en,Peru,Proportionality,0.3077973830703298,0.6910619039400998,0.44539770072032386
qwen2.5:7b,en,Peru,Loyalty,0.5768492888448561,0.7635912713853564,0.7554424866568983
qwen2.5:7b,en,Peru,Authority,0.5075953715554248,0.6926306617865297,0.7328514308710561
qwen2.5:7b,en,Peru,Purity,0.307152085501821,0.8202398755393026,0.3744661710086582
qwen2.5:7b,es,Argentina,Care,0.39939012463420864,0.7738425532022005,0.516112900462131
qwen2.5:7b,es,Argentina,Equality,0.3813242232868325,1.0113062422621795,0.37706107937577116
qwen2.5:7b,es,Argentina,Proportionality,0.3274307321461159,0.6565012888733456,0.49875108807179347
qwen2.5:7b,es,Argentina,Loyalty,0.2797796346965406,0.8172666050664504,0.34233582158149267
qwen2.5:7b,es,Argentina,Authority,0.43752550946038726,0.7257165708148154,0.6028875831912521
qwen2.5:7b,es,Argentina,Purity,0.28855728395320224,0.8168235436241901,0.35326758907180045
qwen2.5:7b,es,Chile,Care,0.329725371880415,0.8240959408785912,0.40010556480703663
qwen2.5:7b,es,Chile,Equality,0.3623587378210762,0.8799627544543267,0.4117887217235442
qwen2.5:7b,es,Chile,Proportionality,0.3140691894826886,0.6940437230577875,0.4525207548869922
qwen2.5:7b,es,Chile,Loyalty,0.41954786158824037,0.8812714114883868,0.4760711128478143
qwen2.5:7b,es,Chile,Authority,0.4080955159192253,0.8113086613503802,0.5030089475933512
qwen2.5:7b,es,Chile,Purity,0.3382125886214775,0.8512212136683834,0.3973263156400112
qwen2.5:7b,es,Colombia,Care,0.39377238265577175,0.7050776871202635,0.5584808452300475
qwen2.5:7b,es,Colombia,Equality,0.3313546715640915,0.9012400606088659,0.3676652714929612
qwen2.5:7b,es,Colombia,Proportionality,0.28230104064813577,0.6839676790324208,0.4127403228285505
qwen2.5:7b,es,Colombia,Loyalty,0.40547556133385193,0.8217228805874905,0.4934456261507009
qwen2.5:7b,es,Colombia,Authority,0.24871552108953515,0.6810899904640069,0.36517277389452235
qwen2.5:7b,es,Colombia,Purity,0.3019963808706272,0.8598074342902541,0.35123722920576556
qwen2.5:7b,es,Mexico,Care,0.3023153284620699,0.7853122575833773,0.38496193780595966
qwen2.5:7b,es,Mexico,Equality,0.37952112086040524,0.9071639493060885,0.41836001215735047
qwen2.5:7b,es,Mexico,Proportionality,0.29546842014263947,0.6967783287864329,0.4240493826167812
qwen2.5:7b,es,Mexico,Loyalty,0.35763458212408067,0.7464054237795031,0.4791425286182407
qwen2.5:7b,es,Mexico,Authority,0.3273095160156155,0.6696972124048197,0.48874253909506027
qwen2.5:7b,es,Mexico,Purity,0.2952572958426249,0.8142700759398922,0.3626036429028987
qwen2.5:7b,es,Peru,Care,0.31444801004364475,0.7250902599055035,0.4336674031238881
qwen2.5:7b,es,Peru,Equality,0.3279151485845109,0.9240313259192513,0.3548744933060489
qwen2.5:7b,es,Peru,Proportionality,0.41960190614103293,0.6910619039400998,0.6071842533189377
qwen2.5:7b,es,Peru,Loyalty,0.5628724516490363,0.7635912713853564,0.7371384047225119
qwen2.5:7b,es,Peru,Authority,0.4520675606201791,0.6926306617865297,0.6526819928158297
qwen2.5:7b,es,Peru,Purity,0.2714703393093186,0.8202398755393026,0.3309645719562567
